locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
O2afg.v2,AKU_Karachi,3,2,0.0967741935483871,0.0740740740740741,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
OL13,AKU_Karachi,3,2,0.0967741935483871,0.0740740740740741,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Karachi,2,2,0.0645161290322581,0.0740740740740741,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Hyderabaad,2,2,0.166666666666667,0.333333333333333,12,6,2023,2023,13,7,Pakistan,AKU,Southern Asia
O2a.v1,AIDH2,5,2,0.217391304347826,0.25,23,8,2019,2022,34,12,India,AIIMS,Southern Asia
O5,BGHOSPITAL 1,2,1,0.0625,0.0833333333333333,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O4,BGHOSPITAL 1,16,1,0.5,0.0833333333333333,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O1.v1,BGHOSPITAL 1,1,1,0.03125,0.0833333333333333,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O2afg.v2,CHRFCMOSH,1,1,0.0833333333333333,0.125,12,8,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O5,CHRFCMOSH,1,1,0.0833333333333333,0.125,12,8,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
OL13,CHRFCMOSH,3,1,0.25,0.125,12,8,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O2afg.v2,BANN,1,1,0.0476190476190476,0.0833333333333333,21,12,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O12,BAPP,1,1,0.0434782608695652,0.0714285714285714,23,14,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O2a.v1,BAPP,1,1,0.0434782608695652,0.0714285714285714,23,14,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
OL13,JIPMER,1,1,0.0294117647058824,0.0588235294117647,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
OL13,KEM-MUMBAI,1,1,0.0526315789473684,0.0666666666666667,19,15,2019,2020,22,18,India,NeoOBS,Southern Asia
O3b,KEM-MUMBAI,1,1,0.0526315789473684,0.0666666666666667,19,15,2019,2020,22,18,India,NeoOBS,Southern Asia
O3b,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Hyderabaad,1,1,0.0833333333333333,0.166666666666667,12,6,2023,2023,13,7,Pakistan,AKU,Southern Asia
OL13,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Karachi,1,1,0.032258064516129,0.037037037037037,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
O1.v1,AKU_Hyderabaad,1,1,0.0833333333333333,0.166666666666667,12,6,2023,2023,13,7,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Quetta,2,1,0.2,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O4,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O1.v1,AIDH2,1,1,0.0434782608695652,0.125,23,8,2019,2022,34,12,India,AIIMS,Southern Asia
O3/O3a,AIDH2,5,1,0.217391304347826,0.125,23,8,2019,2022,34,12,India,AIIMS,Southern Asia
O4,AIDH2,6,1,0.260869565217391,0.125,23,8,2019,2022,34,12,India,AIIMS,Southern Asia
