Genome Name,Study,Region,Country,Site,Cluster,Year,Mortality,N50,contig_count,total_size,resistance_score,ST,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence,O_genotype,O_locus_variant
BG223,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,177731,94,5583449,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG224,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,204233,94,5583309,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG255,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,NA,211044,91,5584421,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG263,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,194933,94,5584665,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG264,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,225845,90,5584326,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG271,BabyGERMS,Southern Africa,South Africa,30,BG27,2020,0,197150,88,5581024,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG272,BabyGERMS,Southern Africa,South Africa,30,BG27,2020,0,204233,94,5583086,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG2053,BabyGERMS,Southern Africa,South Africa,32,BG28,2020,NA,179979,102,5553787,1,ST14,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG316,BabyGERMS,Southern Africa,South Africa,30,BG27,2020,NA,204233,91,5583432,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG2144,BabyGERMS,Southern Africa,South Africa,30,BG29,2020,NA,129097,180,5548784,2,ST39,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG2170,BabyGERMS,Southern Africa,South Africa,30,BG29,2020,NA,158873,168,5548352,2,ST39,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG238,BabyGERMS,Southern Africa,South Africa,34,BG31,2019,NA,351343,55,5548282,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG310,BabyGERMS,Southern Africa,South Africa,34,BG31,2019,NA,354345,62,5549234,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG249,BabyGERMS,Southern Africa,South Africa,31,BG32,2019,0,170498,95,5462094,1,ST1414,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG83,BabyGERMS,Southern Africa,South Africa,31,BG32,2019,0,145583,114,5464765,1,ST1414,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG95,BabyGERMS,Southern Africa,South Africa,31,BG32,2019,0,87064,170,5491913,1,ST1414,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG254,BabyGERMS,Southern Africa,South Africa,30,BG33,2019,NA,331664,67,5732407,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG258,BabyGERMS,Southern Africa,South Africa,30,BG33,2019,1,355551,57,5673677,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG259,BabyGERMS,Southern Africa,South Africa,30,BG33,2019,1,339357,65,5732205,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG315,BabyGERMS,Southern Africa,South Africa,30,BG33,2019,0,355551,72,5698837,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG314,BabyGERMS,Southern Africa,South Africa,30,BG27,2019,1,211044,93,5590260,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG449,BabyGERMS,Southern Africa,South Africa,30,BG27,2020,NA,204233,91,5581487,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG28,BabyGERMS,Southern Africa,South Africa,31,BG34,2019,0,154856,101,5289566,0,ST359,KL102,unknown (KL102),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG298,BabyGERMS,Southern Africa,South Africa,33,BG35,2019,1,312947,70,5643149,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG303,BabyGERMS,Southern Africa,South Africa,33,BG35,2019,0,370005,69,5643035,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG307,BabyGERMS,Southern Africa,South Africa,31,BG36,2019,1,386972,46,5551858,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG308,BabyGERMS,Southern Africa,South Africa,35,BG37,2019,1,279499,105,5467989,1,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG309,BabyGERMS,Southern Africa,South Africa,35,BG37,2019,0,279499,105,5467989,1,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG313,BabyGERMS,Southern Africa,South Africa,30,BG38,2019,NA,167696,72,5496076,2,ST297,KL158,unknown (KL158),Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG317,BabyGERMS,Southern Africa,South Africa,30,BG39,2020,NA,307973,64,5724356,3,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG319,BabyGERMS,Southern Africa,South Africa,33,BG40,2020,NA,371604,68,5767449,2,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG321,BabyGERMS,Southern Africa,South Africa,32,BG41,2020,1,387254,90,5805666,2,ST997,KL102,unknown (KL102),Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
BG32,BabyGERMS,Southern Africa,South Africa,30,BG42,2019,NA,355557,57,5671113,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG377,BabyGERMS,Southern Africa,South Africa,32,BG44,2019,0,427594,60,5847882,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG379,BabyGERMS,Southern Africa,South Africa,32,BG44,2019,0,351258,57,5697742,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG383,BabyGERMS,Southern Africa,South Africa,32,BG44,2019,0,427259,64,5691887,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG332,BabyGERMS,Southern Africa,South Africa,31,BG45,2019,NA,510912,31,5609484,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG337,BabyGERMS,Southern Africa,South Africa,31,BG45,2019,1,215894,55,5603535,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG375,BabyGERMS,Southern Africa,South Africa,31,BG45,2019,0,483972,31,5610609,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG382,BabyGERMS,Southern Africa,South Africa,31,BG45,2019,1,104863,103,5596292,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG387,BabyGERMS,Southern Africa,South Africa,31,BG45,2019,0,510912,31,5608988,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG421,BabyGERMS,Southern Africa,South Africa,31,BG45,2019,0,510912,30,5610757,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG333,BabyGERMS,Southern Africa,South Africa,31,BG46,2019,NA,277004,481,6187715,1,ST1401,KL146,unknown (KL146),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG344,BabyGERMS,Southern Africa,South Africa,35,BG47,2019,0,370004,44,5547262,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG353,BabyGERMS,Southern Africa,South Africa,34,BG48,2019,1,485684,39,5281489,1,ST29,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG361,BabyGERMS,Southern Africa,South Africa,35,BG49,2019,0,216078,58,5564511,1,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG370,BabyGERMS,Southern Africa,South Africa,33,BG50,2019,1,305633,64,5698553,1,ST348,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG392,BabyGERMS,Southern Africa,South Africa,33,BG50,2019,0,266980,71,5692010,1,ST348,KL62,K62,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG374,BabyGERMS,Southern Africa,South Africa,34,BG51,2019,0,384978,52,5500035,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG458,BabyGERMS,Southern Africa,South Africa,34,BG51,2019,0,684352,46,5541498,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG435,BabyGERMS,Southern Africa,South Africa,32,BG44,2020,0,427813,55,5391246,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG402,BabyGERMS,Southern Africa,South Africa,32,BG52,2019,0,355742,58,5334764,0,ST870,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG405,BabyGERMS,Southern Africa,South Africa,30,BG53,2020,1,230183,50,5408813,0,ST45,KL24,K24,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
BG441,BabyGERMS,Southern Africa,South Africa,31,BG45,2020,0,524406,35,5653377,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG442,BabyGERMS,Southern Africa,South Africa,30,BG56,2019,1,193030,58,5644755,2,ST25,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG443,BabyGERMS,Southern Africa,South Africa,33,BG57,2020,NA,336685,62,5643465,3,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG444,BabyGERMS,Southern Africa,South Africa,33,BG57,2020,NA,358836,68,5638915,2,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG533,BabyGERMS,Southern Africa,South Africa,33,BG57,2020,NA,224995,170,5644480,3,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG453,BabyGERMS,Southern Africa,South Africa,32,BG58,2020,NA,144039,118,5762844,0,ST1079,KL10,Capsule null,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG454,BabyGERMS,Southern Africa,South Africa,32,BG59,2020,0,402105,40,5367278,1,ST464,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG455,BabyGERMS,Southern Africa,South Africa,35,BG60,2020,NA,334554,43,5571330,1,ST39,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG456,BabyGERMS,Southern Africa,South Africa,35,BG61,2020,1,387693,44,5345619,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG463,BabyGERMS,Southern Africa,South Africa,31,BG62,2020,NA,94391,148,5564432,1,ST607,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG465,BabyGERMS,Southern Africa,South Africa,32,BG63,2020,0,129190,84,5534208,1,ST985,KL39,K39,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG470,BabyGERMS,Southern Africa,South Africa,31,BG64,2020,0,108701,114,5457156,0,ST17,KL122,unknown (KL122),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG473,BabyGERMS,Southern Africa,South Africa,35,BG65,2020,0,126497,109,5377224,1,ST1119,KL110,unknown (KL110),Typeable,O3b,O3b,Typeable,O3b,O3b
BG474,BabyGERMS,Southern Africa,South Africa,35,BG65,2020,0,90938,135,5363802,1,ST1119,KL110,unknown (KL110),Typeable,O3b,O3b,Typeable,O3b,O3b
BG475,BabyGERMS,Southern Africa,South Africa,35,BG66,2020,0,105051,111,5478969,0,ST14,KL16,K16,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG515,BabyGERMS,Southern Africa,South Africa,31,BG67,2020,1,140223,111,5249421,0,ST2597,KL125,unknown (KL125),Typeable,O3/O3a,O3/O3a,Typeable,O3/O3a,O3/O3a
BG517,BabyGERMS,Southern Africa,South Africa,31,BG68,2020,0,158913,90,5656133,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG521,BabyGERMS,Southern Africa,South Africa,32,BG70,2020,1,234753,89,5536262,0,ST198,KL30,K30,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG540,BabyGERMS,Southern Africa,South Africa,33,BG71,2020,NA,73398,124,5454802,2,ST2621,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG541,BabyGERMS,Southern Africa,South Africa,32,BG72,2020,1,22225,485,5593745,3,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG555,BabyGERMS,Southern Africa,South Africa,34,BG73,2020,NA,75653,138,5581589,2,ST307,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG564,BabyGERMS,Southern Africa,South Africa,32,BG75,2020,NA,263577,86,5546512,1,ST22,KL9,K9,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG566,BabyGERMS,Southern Africa,South Africa,33,BG77,2020,1,171546,146,5584452,1,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG661,BabyGERMS,Southern Africa,South Africa,33,BG77,2020,NA,196425,117,5656321,2,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG662,BabyGERMS,Southern Africa,South Africa,33,BG77,2020,1,196425,117,5656321,2,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG767,BabyGERMS,Southern Africa,South Africa,33,BG77,2020,0,180578,183,5809903,2,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG774,BabyGERMS,Southern Africa,South Africa,33,BG77,2020,0,180578,183,5809903,2,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG594,BabyGERMS,Southern Africa,South Africa,31,BG78,2020,0,240532,133,5616556,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG64,BabyGERMS,Southern Africa,South Africa,32,BG79,2019,1,739135,46,5790771,1,ST985,KL39,K39,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG65,BabyGERMS,Southern Africa,South Africa,33,BG80,2019,0,382885,42,5555916,1,ST711,KL54,K54,Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG668,BabyGERMS,Southern Africa,South Africa,34,BG81,2020,NA,118849,175,5611203,1,ST1414,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG670,BabyGERMS,Southern Africa,South Africa,34,BG82,2020,NA,194224,109,5679057,1,ST39,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG678,BabyGERMS,Southern Africa,South Africa,32,BG83,2020,0,275221,79,5532688,1,ST14,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG710,BabyGERMS,Southern Africa,South Africa,31,BG84,2019,0,64625,188,5728323,2,ST152,KL149,unknown (KL149),Typeable,O4,O4,Typeable,O4,O4
BG72,BabyGERMS,Southern Africa,South Africa,35,BG85,2019,1,477180,41,5481993,1,ST3184,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG74,BabyGERMS,Southern Africa,South Africa,35,BG86,2019,1,184509,80,5705842,2,ST101,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG780,BabyGERMS,Southern Africa,South Africa,33,BG87,2020,0,381333,62,5442150,0,ST542,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG948,BabyGERMS,Southern Africa,South Africa,32,BG92,2020,NA,176370,124,5629926,1,ST1552,KL25,K25,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
BG952,BabyGERMS,Southern Africa,South Africa,34,BG93,2020,NA,206899,111,5511546,1,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG984,BabyGERMS,Southern Africa,South Africa,31,BG94,2020,0,258744,97,5667785,1,ST17,KL25,K25,Typeable,O5,O5,Typeable,O5,O5
BG987,BabyGERMS,Southern Africa,South Africa,30,BG96,2020,1,185040,123,5576441,2,ST39,KL149,unknown (KL149),Typeable,O1/O2v2,O1ab,Typeable,O1.v2,O1 (O1/O2v2)
BG381,BabyGERMS,Southern Africa,South Africa,31,BGBG381,2019,0,491150,32,5610266,1,ST405,KL151,unknown (KL151),Typeable,O4,O4,Typeable,O4,O4
BG580,BabyGERMS,Southern Africa,South Africa,35,BGBG580,2020,0,175150,112,5436433,0,ST36,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
BG770,BabyGERMS,Southern Africa,South Africa,32,BGBG770,2020,0,209697,88,5546382,1,ST22,KL9,K9,Typeable,O1/O2v2,O2afg,Typeable,O2afg,O2afg (O1/O2v2)
CLIN.001732,Botswana,Southern Africa,Botswana,59,BT1,2023,NA,168063,400,5781026,1,ST45,KL24,K24,Typeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
S2_ftry_aae_z_103,Botswana,Southern Africa,Botswana,59,BT1,2023,NA,225817,41,5174560,0,ST45-1LV,KL24,K24,Untypeable,O1/O2v1,O2a,Typeable,O2a,O2a (O1/O2v1)
CLIN.003477,Botswana,Southern Africa,Botswana,59,BT2,2023,NA,111601,338,5465500,0,ST1414,KL8,K8,Typeable,O1/O2v1,O1ab,Typeable,O1.v1,O1 (O1/O2v1)
