Genome Name	Study	Region	Country	Cluster	neonatal	Year	N50	contig_count	total_size	resistance_score	K_locus	K_type	K_locus_confidence	O_locus	O_type	O_locus_confidence	species	ST	Mortality	O_genotype	Site	O_locus_variant	Cluster7	Cluster14	Cluster56	Cluster365	Cluster1SNP	Cluster2SNP	Cluster3SNP	Cluster5SNP	Cluster10SNP	Cluster15SNP	Cluster20SNP	Cluster25SNP	Cluster50SNP	BioSample
BG164	BabyGERMS	Southern Africa	South Africa	BG16	neonate	2019	196787	82	5471902	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	29	O4	BG20	BG18	BG16	BG16	BG20	BG19	BG18	BG17	BG16	BG16	BG16	BG16	BG16	SAMN24865772
BG354	BabyGERMS	Southern Africa	South Africa	BG16	neonate	2019	201706	78	5473741	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	29	O4	BG20	BG18	BG16	BG16	BG20	BG19	BG18	BG17	BG16	BG16	BG16	BG16	BG16	SAMN24865829
BG1679	BabyGERMS	Southern Africa	South Africa	BG17	neonate	2020	145371	102	5455658	0	KL102	unknown (KL102)	Typeable	O1/O2v1	O2a	Typeable	Klebsiella pneumoniae	ST997	NA	O2⍺	29	O2a (O1/O2v1)	BG21	BG19	BG17	BG17	BG21	BG20	BG19	BG18	BG17	BG17	BG17	BG17	BG17	SAMN24865773
BG1723	BabyGERMS	Southern Africa	South Africa	BG18	neonate	2020	149113	106	5581540	1	KL3	K3	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST13	NA	O1⍺β,2β	29	O1 (O1/O2v2)	BG22	BG20	BG18	BG18	BG22	BG21	BG20	BG19	BG18	BG18	BG18	BG18	BG18	SAMN24865774
BG1850	BabyGERMS	Southern Africa	South Africa	BG19	neonate	2020	205984	125	5484670	1	KL15	K15	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST37	NA	O4	27	O4	BG23	BG21	BG19	BG19	BG23	BG22	BG21	BG20	BG19	BG19	BG19	BG19	BG19	SAMN24865775
BG1956	BabyGERMS	Southern Africa	South Africa	BG20	neonate	2020	135089	173	5758913	1	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST377	1	O2β	31	O2afg (O1/O2v2)	BG24	BG22	BG20	BG6	BG24	BG23	BG22	BG21	BG20	BG20	BG20	BG20	BG20	SAMN24865777
BG2000	BabyGERMS	Southern Africa	South Africa	BG20	neonate	2020	124494	178	5751355	1	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST377	1	O2β	31	O2afg (O1/O2v2)	BG28	BG26	BG20	BG6	BG28	BG27	BG26	BG21	BG20	BG20	BG20	BG20	BG20	SAMN24865782
BG1969	BabyGERMS	Southern Africa	South Africa	BG21	neonate	2020	148306	121	5526350	1	KL25	K25	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST607	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG25	BG23	BG21	BG20	BG25	BG24	BG23	BG22	BG21	BG21	BG21	BG21	BG21	SAMN24865779
BG2035	BabyGERMS	Southern Africa	South Africa	BG21	neonate	2020	154811	119	5538191	1	KL25	K25	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST607	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG25	BG23	BG21	BG20	BG30	BG29	BG28	BG22	BG21	BG21	BG21	BG21	BG21	SAMN24865784
BG2036	BabyGERMS	Southern Africa	South Africa	BG21	neonate	2020	132940	169	5653713	1	KL25	K25	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST607	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG25	BG23	BG21	BG20	BG31	BG30	BG29	BG22	BG21	BG21	BG21	BG21	BG21	SAMN24865785
BG1997	BabyGERMS	Southern Africa	South Africa	BG22	neonate	2020	148511	123	5596183	1	KL25	K25	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST1552	NA	O1⍺β,2⍺	29	O1 (O1/O2v1)	BG26	BG24	BG22	BG21	BG26	BG25	BG24	BG23	BG22	BG22	BG22	BG22	BG22	SAMN24865780
BG1999	BabyGERMS	Southern Africa	South Africa	BG23	neonate	2020	94415	155	5778094	1	KL2	K2	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST25	NA	O1⍺β,2β	29	O1 (O1/O2v2)	BG27	BG25	BG23	BG22	BG27	BG26	BG25	BG24	BG23	BG23	BG23	BG23	BG23	SAMN24865781
BG2032	BabyGERMS	Southern Africa	South Africa	BG24	neonate	2020	122728	164	5509017	1	KL8	K8	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST1414	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG29	BG27	BG24	BG23	BG29	BG28	BG27	BG25	BG24	BG24	BG24	BG24	BG24	SAMN24865783
BG2046	BabyGERMS	Southern Africa	South Africa	BG25	neonate	2020	152672	100	5487877	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	0	O5	30	O5	BG30	BG28	BG25	BG24	BG32	BG31	BG30	BG26	BG25	BG25	BG25	BG25	BG25	SAMN24865786
BG2047	BabyGERMS	Southern Africa	South Africa	BG25	neonate	2020	193787	89	5501873	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	0	O5	30	O5	BG31	BG28	BG25	BG24	BG33	BG32	BG31	BG26	BG25	BG25	BG25	BG25	BG25	SAMN24865787
BG2048	BabyGERMS	Southern Africa	South Africa	BG26	neonate	2020	127323	141	5804129	2	KL2	K2	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST25	0	O1⍺β,2β	27	O1 (O1/O2v2)	BG32	BG29	BG26	BG8	BG34	BG33	BG32	BG27	BG26	BG26	BG26	BG26	BG26	SAMN24865788
BG213	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	225774	95	5581171	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865945
BG214	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	211044	90	5585632	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865946
BG215	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	204917	86	5585736	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865947
BG218	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	225843	101	5633045	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865948
BG219	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	152981	115	5628389	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865949
BG222	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	204233	93	5584389	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865950
BG223	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	177731	94	5583449	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865951
BG224	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	204233	94	5583309	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865952
BG255	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	211044	91	5584421	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865935
BG263	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	194933	94	5584665	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG41	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865938
BG264	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	225845	90	5584326	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG41	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865939
BG271	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2020	197150	88	5581024	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865953
BG272	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2020	204233	94	5583086	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	27	O4	BG33	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865954
BG2053	BabyGERMS	Southern Africa	South Africa	BG28	neonate	2020	179979	102	5553787	1	KL2	K2	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST14	NA	O1⍺β,2⍺	29	O1 (O1/O2v1)	BG34	BG31	BG28	BG26	BG36	BG35	BG34	BG29	BG28	BG28	BG28	BG28	BG28	SAMN24865789
BG316	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2020	204233	91	5583432	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	27	O4	BG49	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865956
BG2144	BabyGERMS	Southern Africa	South Africa	BG29	neonate	2020	129097	180	5548784	2	KL62	K62	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST39	NA	O1⍺β,2β	27	O1 (O1/O2v2)	BG35	BG32	BG29	BG9	BG37	BG36	BG35	BG30	BG29	BG29	BG29	BG29	BG29	SAMN24865790
BG2170	BabyGERMS	Southern Africa	South Africa	BG29	neonate	2020	158873	168	5548352	2	KL62	K62	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST39	NA	O1⍺β,2β	27	O1 (O1/O2v2)	BG36	BG33	BG29	BG9	BG38	BG37	BG36	BG31	BG29	BG29	BG29	BG29	BG29	SAMN24865791
BG238	BabyGERMS	Southern Africa	South Africa	BG31	neonate	2019	351343	55	5548282	1	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	NA	O5	31	O5	BG38	BG35	BG31	BG28	BG40	BG39	BG38	BG33	BG31	BG31	BG31	BG31	BG31	SAMN24865795
BG310	BabyGERMS	Southern Africa	South Africa	BG31	neonate	2019	354345	62	5549234	1	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	NA	O5	31	O5	BG38	BG35	BG31	BG28	BG40	BG39	BG38	BG33	BG31	BG31	BG31	BG31	BG31	SAMN24865812
BG249	BabyGERMS	Southern Africa	South Africa	BG32	neonate	2019	170498	95	5462094	1	KL8	K8	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST1414	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG39	BG36	BG32	BG23	BG41	BG40	BG39	BG34	BG32	BG32	BG32	BG32	BG32	SAMN24865798
BG83	BabyGERMS	Southern Africa	South Africa	BG32	neonate	2019	145583	114	5464765	1	KL8	K8	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST1414	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG110	BG98	BG32	BG23	BG41	BG40	BG39	BG34	BG32	BG32	BG32	BG32	BG32	SAMN24865915
BG95	BabyGERMS	Southern Africa	South Africa	BG32	neonate	2019	87064	170	5491913	1	KL8	K8	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST1414	0	O1⍺β,2⍺	28	O1 (O1/O2v1)	BG110	BG98	BG32	BG23	BG41	BG40	BG39	BG34	BG32	BG32	BG32	BG32	BG32	SAMN24865924
BG254	BabyGERMS	Southern Africa	South Africa	BG33	neonate	2019	331664	67	5732407	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	27	O2afg (O1/O2v2)	BG40	BG37	BG33	BG29	BG42	BG41	BG40	BG35	BG33	BG33	BG33	BG33	BG33	SAMN24865934
BG258	BabyGERMS	Southern Africa	South Africa	BG33	neonate	2019	355551	57	5673677	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	1	O2β	27	O2afg (O1/O2v2)	BG40	BG37	BG33	BG29	BG42	BG41	BG40	BG35	BG33	BG33	BG33	BG33	BG33	SAMN24865936
BG259	BabyGERMS	Southern Africa	South Africa	BG33	neonate	2019	339357	65	5732205	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	1	O2β	27	O2afg (O1/O2v2)	BG40	BG37	BG33	BG29	BG42	BG41	BG40	BG35	BG33	BG33	BG33	BG33	BG33	SAMN24865937
BG315	BabyGERMS	Southern Africa	South Africa	BG33	neonate	2019	355551	72	5698837	2	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	0	O2β	27	O2afg (O1/O2v2)	BG40	BG37	BG33	BG29	BG42	BG41	BG40	BG35	BG33	BG33	BG33	BG33	BG33	SAMN24865932
BG314	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2019	211044	93	5590260	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	27	O4	BG48	BG43	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865933
BG449	BabyGERMS	Southern Africa	South Africa	BG27	neonate	2020	204233	91	5581487	2	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	NA	O4	27	O4	BG74	BG30	BG27	BG25	BG35	BG34	BG33	BG28	BG27	BG27	BG27	BG27	BG27	SAMN24865860
BG28	BabyGERMS	Southern Africa	South Africa	BG34	neonate	2019	154856	101	5289566	0	KL102	unknown (KL102)	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST359	0	O1⍺β,2β	28	O1 (O1/O2v2)	BG43	BG38	BG34	BG30	BG44	BG42	BG41	BG36	BG34	BG34	BG34	BG34	BG34	SAMN24865799
BG298	BabyGERMS	Southern Africa	South Africa	BG35	neonate	2019	312947	70	5643149	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	1	O5	30	O5	BG44	BG39	BG35	BG24	BG45	BG43	BG42	BG37	BG35	BG35	BG35	BG35	BG35	SAMN24865804
BG303	BabyGERMS	Southern Africa	South Africa	BG35	neonate	2019	370005	69	5643035	2	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	0	O5	30	O5	BG44	BG39	BG35	BG24	BG45	BG43	BG42	BG37	BG35	BG35	BG35	BG35	BG35	SAMN24865805
BG307	BabyGERMS	Southern Africa	South Africa	BG36	neonate	2019	386972	46	5551858	1	KL25	K25	Typeable	O5	O5	Typeable	Klebsiella pneumoniae	ST17	1	O5	28	O5	BG45	BG40	BG36	BG31	BG46	BG44	BG43	BG38	BG36	BG36	BG36	BG36	BG36	SAMN24865809
BG308	BabyGERMS	Southern Africa	South Africa	BG37	neonate	2019	279499	105	5467989	1	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	1	O4	32	O4	BG46	BG41	BG37	BG32	BG47	BG45	BG44	BG39	BG37	BG37	BG37	BG37	BG37	SAMN24865810
BG309	BabyGERMS	Southern Africa	South Africa	BG37	neonate	2019	279499	105	5467989	1	KL149	unknown (KL149)	Typeable	O4	O4	Typeable	Klebsiella pneumoniae	ST152	0	O4	32	O4	BG46	BG41	BG37	BG32	BG47	BG45	BG44	BG39	BG37	BG37	BG37	BG37	BG37	TBC
BG313	BabyGERMS	Southern Africa	South Africa	BG38	neonate	2019	167696	72	5496076	2	KL158	unknown (KL158)	Typeable	O1/O2v1	O1ab	Typeable	Klebsiella pneumoniae	ST297	NA	O1⍺β,2⍺	27	O1 (O1/O2v1)	BG47	BG42	BG38	BG33	BG48	BG46	BG45	BG40	BG38	BG38	BG38	BG38	BG38	SAMN24865931
BG317	BabyGERMS	Southern Africa	South Africa	BG39	neonate	2020	307973	64	5724356	3	KL102	unknown (KL102)	Typeable	O1/O2v2	O2afg	Typeable	Klebsiella pneumoniae	ST307	NA	O2β	27	O2afg (O1/O2v2)	BG50	BG44	BG33	BG29	BG49	BG47	BG46	BG41	BG39	BG39	BG39	BG39	BG39	SAMN24865957
BG319	BabyGERMS	Southern Africa	South Africa	BG40	neonate	2020	371604	68	5767449	2	KL149	unknown (KL149)	Typeable	O1/O2v2	O1ab	Typeable	Klebsiella pneumoniae	ST39	NA	O1⍺β,2β	30	O1 (O1/O2v2)	BG51	BG45	BG39	BG34	BG50	BG48	BG47	BG42	BG40	BG40	BG40	BG40	BG40	SAMN24865813
BG321	BabyGERMS	Southern Africa	South Africa	BG41	neonate	2020	387254	90	5805666	2	KL102	unknown (KL102)	Typeable	O1/O2v1	O2a	Typeable	Klebsiella pneumoniae	ST997	1	O2⍺	29	O2a (O1/O2v1)	BG52	BG46	BG40	BG35	BG51	BG49	BG48	BG43	BG41	BG41	BG41	BG41	BG41	SAMN24865815
